"","Group","Whitehall","Gender","Date","Civil.Service.grad","count","total","share","grp"
"215","CO","WH","Male",2008,"SCS",100,1240,0.0806451612903226,"COMale"
"216","CO","WH","Male",2009,"AO/AA",80,1260,0.0634920634920635,"COMale"
"217","CO","WH","Male",2009,"EO",80,1260,0.0634920634920635,"COMale"
"218","CO","WH","Male",2009,"G6/G7",170,1260,0.134920634920635,"COMale"
"219","CO","WH","Male",2009,"SEO/HEO",170,1260,0.134920634920635,"COMale"
"220","CO","WH","Male",2009,"SCS",90,1260,0.0714285714285714,"COMale"
"221","CO","WH","Male",2010,"AO/AA",80,1270,0.062992125984252,"COMale"
"222","CO","WH","Male",2010,"EO",80,1270,0.062992125984252,"COMale"
"223","CO","WH","Male",2010,"G6/G7",170,1270,0.133858267716535,"COMale"
"224","CO","WH","Male",2010,"SEO/HEO",170,1270,0.133858267716535,"COMale"
"225","CO","WH","Male",2010,"SCS",80,1270,0.062992125984252,"COMale"
"226","CO","WH","Male",2011,"AO/AA",70,1510,0.0463576158940397,"COMale"
"227","CO","WH","Male",2011,"EO",90,1510,0.0596026490066225,"COMale"
"228","CO","WH","Male",2011,"G6/G7",240,1510,0.158940397350993,"COMale"
"229","CO","WH","Male",2011,"SEO/HEO",220,1510,0.145695364238411,"COMale"
"230","CO","WH","Male",2011,"SCS",90,1510,0.0596026490066225,"COMale"
"231","CO","WH","Male",2012,"AO/AA",70,1620,0.0432098765432099,"COMale"
"232","CO","WH","Male",2012,"EO",110,1620,0.0679012345679012,"COMale"
"233","CO","WH","Male",2012,"G6/G7",280,1620,0.172839506172839,"COMale"
"234","CO","WH","Male",2012,"SEO/HEO",240,1620,0.148148148148148,"COMale"
"235","CO","WH","Male",2012,"SCS",100,1620,0.0617283950617284,"COMale"
"236","CO","WH","Male",2013,"AO/AA",70,1840,0.0380434782608696,"COMale"
"237","CO","WH","Male",2013,"EO",120,1840,0.0652173913043478,"COMale"
"238","CO","WH","Male",2013,"G6/G7",350,1840,0.190217391304348,"COMale"
"239","CO","WH","Male",2013,"SEO/HEO",290,1840,0.157608695652174,"COMale"
"240","CO","WH","Male",2013,"SCS",110,1840,0.0597826086956522,"COMale"
"241","DCLG","NWH","Female",2008,"AO/AA",280,2560,0.109375,"DCLGFemale"
"242","DCLG","NWH","Female",2008,"EO",230,2560,0.08984375,"DCLGFemale"
"243","DCLG","NWH","Female",2008,"G6/G7",90,2560,0.03515625,"DCLGFemale"
"244","DCLG","NWH","Female",2008,"SEO/HEO",220,2560,0.0859375,"DCLGFemale"
"245","DCLG","NWH","Female",2008,"SCS",0,2560,0,"DCLGFemale"
"246","DCLG","NWH","Female",2009,"AO/AA",250,2550,0.0980392156862745,"DCLGFemale"
"247","DCLG","NWH","Female",2009,"EO",240,2550,0.0941176470588235,"DCLGFemale"
"248","DCLG","NWH","Female",2009,"G6/G7",100,2550,0.0392156862745098,"DCLGFemale"
"249","DCLG","NWH","Female",2009,"SEO/HEO",220,2550,0.0862745098039216,"DCLGFemale"
"250","DCLG","NWH","Female",2009,"SCS",0,2550,0,"DCLGFemale"
"251","DCLG","NWH","Female",2010,"AO/AA",230,2280,0.100877192982456,"DCLGFemale"
"252","DCLG","NWH","Female",2010,"EO",210,2280,0.0921052631578947,"DCLGFemale"
"253","DCLG","NWH","Female",2010,"G6/G7",100,2280,0.043859649122807,"DCLGFemale"
"254","DCLG","NWH","Female",2010,"SEO/HEO",190,2280,0.0833333333333333,"DCLGFemale"
"255","DCLG","NWH","Female",2010,"SCS",0,2280,0,"DCLGFemale"
"256","DCLG","NWH","Female",2011,"AO/AA",200,2070,0.0966183574879227,"DCLGFemale"
"257","DCLG","NWH","Female",2011,"EO",190,2070,0.0917874396135266,"DCLGFemale"
