"Dept","Managed","value","measure","Period","group"
"Total excl. Whitehall FCO","N",99570,"ONS","2011Q2","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",446790,"ONS","2011Q2","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",452560,"ONS","2011Q2","Total employment-Total Employment ONS total"
"AGO","Y",40,"ONS","2011Q3","AGO-Y"
"BIS","Y",2880,"ONS","2011Q3","BIS-Y"
"CO","Y",1740,"ONS","2011Q3","CO-Y"
"DCLG","Y",2110,"ONS","2011Q3","DCLG-Y"
"DCMS","Y",460,"ONS","2011Q3","DCMS-Y"
"DECC","Y",1190,"ONS","2011Q3","DECC-Y"
"DEFRA","Y",4490,"ONS","2011Q3","DEFRA-Y"
"DfE","Y",2490,"ONS","2011Q3","DfE-Y"
"DfID","Y",1560,"ONS","2011Q3","DfID-Y"
"DfT","Y",1710,"ONS","2011Q3","DfT-Y"
"DH","Y",2370,"ONS","2011Q3","DH-Y"
"DWP","Y",99060,"ONS","2011Q3","DWP-Y"
"FCO","Y",5450,"ONS","2011Q3","FCO-Y"
"GEO","Y",0,"ONS","2011Q3","GEO-Y"
"HMRC","Y",67080,"ONS","2011Q3","HMRC-Y"
"HMT","Y",1130,"ONS","2011Q3","HMT-Y"
"HO","Y",21780,"ONS","2011Q3","HO-Y"
"MoD","Y",60430,"ONS","2011Q3","MoD-Y"
"MoJ","Y",69990,"ONS","2011Q3","MoJ-Y"
"NIO","Y",50,"ONS","2011Q3","NIO-Y"
"Scot Gov","Y",0,"ONS","2011Q3","Scot Gov-Y"
"Welsh Gov","Y",0,"ONS","2011Q3","Welsh Gov-Y"
"AGO","N",8460,"ONS","2011Q3","AGO-N"
"BIS","N",14360,"ONS","2011Q3","BIS-N"
"CO","N",4200,"ONS","2011Q3","CO-N"
"DCLG","N",840,"ONS","2011Q3","DCLG-N"
"DCMS","N",110,"ONS","2011Q3","DCMS-N"
"DECC","N",520,"ONS","2011Q3","DECC-N"
"DEFRA","N",4170,"ONS","2011Q3","DEFRA-N"
"DfE","N",1590,"ONS","2011Q3","DfE-N"
"DfID","N",0,"ONS","2011Q3","DfID-N"
"DfT","N",15460,"ONS","2011Q3","DfT-N"
"DH","N",2240,"ONS","2011Q3","DH-N"
"DWP","N",3320,"ONS","2011Q3","DWP-N"
"FCO","N",5310,"ONS","2011Q3","FCO-N"
"GEO","N",0,"ONS","2011Q3","GEO-N"
"HMRC","N",3490,"ONS","2011Q3","HMRC-N"
"HMT","N",430,"ONS","2011Q3","HMT-N"
"HO","N",3800,"ONS","2011Q3","HO-N"
"MoD","N",7570,"ONS","2011Q3","MoD-N"
"MoJ","N",730,"ONS","2011Q3","MoJ-N"
"NIO","N",0,"ONS","2011Q3","NIO-N"
"Scot Gov","N",16080,"ONS","2011Q3","Scot Gov-N"
"Welsh Gov","N",5110,"ONS","2011Q3","Welsh Gov-N"
"AGO","Departmental Group",8500,"ONS","2011Q3","AGO-Departmental Group"
"BIS","Departmental Group",17240,"ONS","2011Q3","BIS-Departmental Group"
"CO","Departmental Group",5940,"ONS","2011Q3","CO-Departmental Group"
"DCLG","Departmental Group",2950,"ONS","2011Q3","DCLG-Departmental Group"
"DCMS","Departmental Group",570,"ONS","2011Q3","DCMS-Departmental Group"
"DECC","Departmental Group",1710,"ONS","2011Q3","DECC-Departmental Group"
"DEFRA","Departmental Group",8660,"ONS","2011Q3","DEFRA-Departmental Group"
"DfE","Departmental Group",4080,"ONS","2011Q3","DfE-Departmental Group"
"DfID","Departmental Group",1560,"ONS","2011Q3","DfID-Departmental Group"
"DfT","Departmental Group",17170,"ONS","2011Q3","DfT-Departmental Group"
"DH","Departmental Group",4610,"ONS","2011Q3","DH-Departmental Group"
"DWP","Departmental Group",102380,"ONS","2011Q3","DWP-Departmental Group"
"FCO","Departmental Group",10760,"ONS","2011Q3","FCO-Departmental Group"
"GEO","Departmental Group",0,"ONS","2011Q3","GEO-Departmental Group"
"HMRC","Departmental Group",70570,"ONS","2011Q3","HMRC-Departmental Group"
"HMT","Departmental Group",1560,"ONS","2011Q3","HMT-Departmental Group"
"HO","Departmental Group",25580,"ONS","2011Q3","HO-Departmental Group"
"MoD","Departmental Group",68000,"ONS","2011Q3","MoD-Departmental Group"
"MoJ","Departmental Group",70720,"ONS","2011Q3","MoJ-Departmental Group"
"NIO","Departmental Group",50,"ONS","2011Q3","NIO-Departmental Group"
"Scot Gov","Departmental Group",16080,"ONS","2011Q3","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",5110,"ONS","2011Q3","Welsh Gov-Departmental Group"
"Total","Y",346010,"ONS","2011Q3","Total-Y"
"Total","N",97790,"ONS","2011Q3","Total-N"
"Total","Departmental Group",443800,"ONS","2011Q3","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",340560,"ONS","2011Q3","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",97790,"ONS","2011Q3","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",438350,"ONS","2011Q3","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",443740,"ONS","2011Q3","Total employment-Total Employment ONS total"
"AGO","Y",40,"ONS","2011Q4","AGO-Y"
"BIS","Y",2910,"ONS","2011Q4","BIS-Y"
"CO","Y",1750,"ONS","2011Q4","CO-Y"
"DCLG","Y",1860,"ONS","2011Q4","DCLG-Y"
"DCMS","Y",460,"ONS","2011Q4","DCMS-Y"
"DECC","Y",1230,"ONS","2011Q4","DECC-Y"
"DEFRA","Y",4450,"ONS","2011Q4","DEFRA-Y"
"DfE","Y",2670,"ONS","2011Q4","DfE-Y"
"DfID","Y",1620,"ONS","2011Q4","DfID-Y"
"DfT","Y",1660,"ONS","2011Q4","DfT-Y"
"DH","Y",2330,"ONS","2011Q4","DH-Y"
"DWP","Y",97790,"ONS","2011Q4","DWP-Y"
"FCO","Y",5770,"ONS","2011Q4","FCO-Y"
"GEO","Y",0,"ONS","2011Q4","GEO-Y"
"HMRC","Y",66950,"ONS","2011Q4","HMRC-Y"
"HMT","Y",1110,"ONS","2011Q4","HMT-Y"
"HO","Y",21190,"ONS","2011Q4","HO-Y"
"MoD","Y",57210,"ONS","2011Q4","MoD-Y"
"MoJ","Y",67870,"ONS","2011Q4","MoJ-Y"
"NIO","Y",50,"ONS","2011Q4","NIO-Y"
"Scot Gov","Y",0,"ONS","2011Q4","Scot Gov-Y"
"Welsh Gov","Y",0,"ONS","2011Q4","Welsh Gov-Y"
"AGO","N",8340,"ONS","2011Q4","AGO-N"
"BIS","N",14040,"ONS","2011Q4","BIS-N"
"CO","N",4110,"ONS","2011Q4","CO-N"
"DCLG","N",840,"ONS","2011Q4","DCLG-N"
"DCMS","N",110,"ONS","2011Q4","DCMS-N"
"DECC","N",530,"ONS","2011Q4","DECC-N"
"DEFRA","N",4070,"ONS","2011Q4","DEFRA-N"
"DfE","N",1580,"ONS","2011Q4","DfE-N"
"DfID","N",0,"ONS","2011Q4","DfID-N"
"DfT","N",15370,"ONS","2011Q4","DfT-N"
"DH","N",2210,"ONS","2011Q4","DH-N"
"DWP","N",3310,"ONS","2011Q4","DWP-N"
"FCO","N",5290,"ONS","2011Q4","FCO-N"
"GEO","N",0,"ONS","2011Q4","GEO-N"
"HMRC","N",3490,"ONS","2011Q4","HMRC-N"
"HMT","N",430,"ONS","2011Q4","HMT-N"
"HO","N",3660,"ONS","2011Q4","HO-N"
"MoD","N",7380,"ONS","2011Q4","MoD-N"
"MoJ","N",740,"ONS","2011Q4","MoJ-N"
"NIO","N",0,"ONS","2011Q4","NIO-N"
"Scot Gov","N",15800,"ONS","2011Q4","Scot Gov-N"
"Welsh Gov","N",5100,"ONS","2011Q4","Welsh Gov-N"
"AGO","Departmental Group",8380,"ONS","2011Q4","AGO-Departmental Group"
"BIS","Departmental Group",16950,"ONS","2011Q4","BIS-Departmental Group"
"CO","Departmental Group",5860,"ONS","2011Q4","CO-Departmental Group"
"DCLG","Departmental Group",2700,"ONS","2011Q4","DCLG-Departmental Group"
"DCMS","Departmental Group",570,"ONS","2011Q4","DCMS-Departmental Group"
"DECC","Departmental Group",1760,"ONS","2011Q4","DECC-Departmental Group"
"DEFRA","Departmental Group",8520,"ONS","2011Q4","DEFRA-Departmental Group"
"DfE","Departmental Group",4250,"ONS","2011Q4","DfE-Departmental Group"
"DfID","Departmental Group",1620,"ONS","2011Q4","DfID-Departmental Group"
