"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"120","DH",2011,"SCS","Disabled",10,240,0.0416666666666667,0.0648148148148148,FALSE,"DHSCS",0.0416666666666667
"121","DWP",2012,"SCS","Disabled",10,230,0.0434782608695652,0.0638946337215631,FALSE,"DWPSCS",0.0434782608695652
"122","DWP",2010,"All grades","Disabled",6370,105740,0.060242103272177,0.0638946337215631,FALSE,"DWPAll grades",0.060242103272177
"123","DWP",2009,"SCS","Disabled",10,300,0.0333333333333333,0.0638946337215631,FALSE,"DWPSCS",0.0333333333333333
"124","DWP",2012,"All grades","Disabled",5940,95480,0.0622119815668203,0.0638946337215631,FALSE,"DWPAll grades",0.0622119815668203
"125","DWP",2008,"All grades","Disabled",6150,112710,0.0545648123502795,0.0638946337215631,FALSE,"DWPAll grades",0.0545648123502795
"126","DWP",2011,"SCS","Disabled",10,280,0.0357142857142857,0.0638946337215631,FALSE,"DWPSCS",0.0357142857142857
"127","DWP",2009,"All grades","Disabled",5840,106810,0.0546765284149424,0.0638946337215631,FALSE,"DWPAll grades",0.0546765284149424
"128","DWP",2013,"SCS","Disabled",10,200,0.05,0.0638946337215631,FALSE,"DWPSCS",0.05
"129","DWP",2011,"All grades","Disabled",6340,101620,0.062389293446172,0.0638946337215631,FALSE,"DWPAll grades",0.062389293446172
"130","DWP",2008,"SCS","Disabled",10,310,0.032258064516129,0.0638946337215631,FALSE,"DWPSCS",0.032258064516129
"131","DWP",2010,"SCS","Disabled",10,310,0.032258064516129,0.0638946337215631,FALSE,"DWPSCS",0.032258064516129
"132","DWP",2013,"All grades","Disabled",5870,91870,0.0638946337215631,0.0638946337215631,FALSE,"DWPAll grades",0.0638946337215631
"133","FCO",2013,"All grades","Disabled",210,1580,0.132911392405063,0.132911392405063,FALSE,"FCOAll grades",0.132911392405063
"134","FCO",2010,"SCS","Disabled",10,40,0.25,0.132911392405063,FALSE,"FCOSCS",0.25
"135","FCO",2012,"SCS","Disabled",10,80,0.125,0.132911392405063,FALSE,"FCOSCS",0.125
"136","FCO",2008,"All grades","Disabled",180,5840,0.0308219178082192,0.132911392405063,FALSE,"FCOAll grades",0.0308219178082192
"137","FCO",2010,"All grades","Disabled",200,1330,0.150375939849624,0.132911392405063,FALSE,"FCOAll grades",0.150375939849624
"138","FCO",2012,"All grades","Disabled",260,2440,0.10655737704918,0.132911392405063,FALSE,"FCOAll grades",0.10655737704918
"139","FCO",2009,"SCS","Disabled",10,380,0.0263157894736842,0.132911392405063,FALSE,"FCOSCS",0.0263157894736842
"140","FCO",2011,"All grades","Disabled",200,1900,0.105263157894737,0.132911392405063,FALSE,"FCOAll grades",0.105263157894737
"141","FCO",2011,"SCS","Disabled",10,50,0.2,0.132911392405063,FALSE,"FCOSCS",0.2
"142","FCO",2013,"SCS","Disabled",10,70,0.142857142857143,0.132911392405063,FALSE,"FCOSCS",0.142857142857143
"143","FCO",2009,"All grades","Disabled",200,6030,0.033167495854063,0.132911392405063,FALSE,"FCOAll grades",0.033167495854063
"144","FCO",2008,"SCS","Disabled",10,390,0.0256410256410256,0.132911392405063,FALSE,"FCOSCS",0.0256410256410256
"145","HMRC",2009,"SCS","Disabled",20,320,0.0625,0.158222222222222,FALSE,"HMRCSCS",0.0625
"146","HMRC",2008,"SCS","Disabled",20,280,0.0714285714285714,0.158222222222222,FALSE,"HMRCSCS",0.0714285714285714
"147","HMRC",2011,"All grades","Disabled",7010,44290,0.158275005644615,0.158222222222222,FALSE,"HMRCAll grades",0.158275005644615
"148","HMRC",2010,"SCS","Disabled",20,280,0.0714285714285714,0.158222222222222,FALSE,"HMRCSCS",0.0714285714285714
"149","HMRC",2012,"All grades","Disabled",7100,45080,0.157497781721384,0.158222222222222,FALSE,"HMRCAll grades",0.157497781721384
"150","HMRC",2008,"All grades","Disabled",6640,44570,0.148979133946601,0.158222222222222,FALSE,"HMRCAll grades",0.148979133946601
"151","HMRC",2012,"SCS","Disabled",20,290,0.0689655172413793,0.158222222222222,FALSE,"HMRCSCS",0.0689655172413793
"152","HMRC",2010,"All grades","Disabled",7040,45350,0.155237045203969,0.158222222222222,FALSE,"HMRCAll grades",0.155237045203969
"153","HMRC",2009,"All grades","Disabled",6910,45530,0.15176806501208,0.158222222222222,FALSE,"HMRCAll grades",0.15176806501208
"154","HMRC",2013,"SCS","Disabled",20,270,0.0740740740740741,0.158222222222222,FALSE,"HMRCSCS",0.0740740740740741
"155","HMRC",2011,"SCS","Disabled",20,300,0.0666666666666667,0.158222222222222,FALSE,"HMRCSCS",0.0666666666666667
"156","HMRC",2013,"All grades","Disabled",7120,45000,0.158222222222222,0.158222222222222,FALSE,"HMRCAll grades",0.158222222222222
