Dept group,Organisation,Dept IfG,Whitehall,Managed,Year,Communications and Marketing,Economics,Engineering,Finance,Human Resources,Information Technology,Inspector of Education and Training,Internal Audit,Knowledge and Information Management,Law,Medicine,Operational Delivery,Operational Research,Planning,Policy Delivery,Procurement and Contract Management,Programme and Project Management,Property Asset Management,Psychology,Science,Social and Market Research,Statistics,Tax Professionals,Veterinarian,Other,Not Reported,Total
Defence,Defence Science and Technology Laboratory,MoD,Non-Whitehall,Yes,2010,10,0,1350,60,60,20,0,0,120,0,0,0,0,0,60,0,80,0,0,1710,0,0,0,0,190,0,3670
Defence,Defence Support Group,MoD,Non-Whitehall,Yes,2010,..,0,0,20,70,40,0,0,0,0,..,2800,0,0,10,190,0,0,0,0,0,0,0,0,120,0,3240
Defence,Meteorological Office,MoD,Non-Whitehall,Yes,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Defence,Royal Fleet Auxiliary,MoD,Non-Whitehall,Yes,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330,2330
Defence,Ministry of Defence,MoD,Non-Whitehall,Yes,2010,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,63300,63300
Defence,UK Hydrographic Office,MoD,Non-Whitehall,Yes,2010,70,0,0,30,20,60,0,10,..,20,..,710,10,20,10,..,0,0,0,..,0,0,0,0,10,0,960
Justice,Her Majesty's Courts and Tribunals Service,MoJ,Non-Whitehall,Yes,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Justice,HM Courts Service,MoJ,Non-Whitehall,Yes,2010,0,0,0,0,0,0,0,0,0,0,0,18330,0,0,..,0,0,0,0,0,0,0,0,0,0,0,18340
Justice,Land Registry,MoJ,Non-Whitehall,No,2010,10,0,0,50,130,430,0,10,0,40,0,4700,0,0,0,20,30,0,0,0,0,0,0,0,100,0,5500
Justice,Ministry of Justice (excl agencies),MoJ,Whitehall,Yes,2010,90,0,0,140,350,240,0,70,0,150,0,560,0,0,1400,10,0,0,0,0,0,0,0,0,140,0,3130
Justice,National Archives,MoJ,Non-Whitehall,No,2010,10,0,0,10,20,50,0,0,40,0,0,190,0,0,..,..,10,10,0,0,0,0,0,0,250,0,590
Justice,National Offender Management Service,MoJ,Non-Whitehall,Yes,2010,0,0,0,1190,630,0,0,0,0,0,700,41970,0,0,0,0,0,0,940,0,0,0,0,0,4020,0,49460
Justice,Scotland Office (incl. Office of the Advocate General for Scotland),MoJ,Non-Whitehall,No,2010,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Justice,The Office of the Public Guardian,MoJ,Non-Whitehall,Yes,2010,0,0,0,60,0,0,0,0,0,0,0,360,0,0,10,0,0,0,0,0,0,0,0,0,0,0,430
Justice,Tribunals Service,MoJ,Non-Whitehall,Yes,2010,..,0,0,30,0,0,0,0,0,0,0,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920
Justice,UK Supreme Court,MoJ,Non-Whitehall,No,2010,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Justice,Wales Office,MoJ,Non-Whitehall,No,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60
Justice,Legal Aid Agency,MoJ,Non-Whitehall,Yes,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Northern Ireland Office,Northern Ireland Office,NIO,Whitehall,Yes,2010,..,0,0,..,10,..,0,0,10,..,0,30,0,0,50,0,0,0,0,0,0,0,0,0,0,0,110
Scottish Government,Crown Office and Procurator Fiscal,Scot Gov,Non-Whitehall,No,2010,0,0,0,10,40,40,0,0,..,520,0,1080,0,0,40,0,10,0,0,0,0,0,0,0,0,0,1760
Scottish Government,Disclosure Scotland,Scot Gov,Non-Whitehall,No,2010,0,0,0,..,0,..,0,0,0,0,0,10,0,0,..,0,0,0,0,0,0,..,0,0,150,0,170
Scottish Government,Fisheries Research Services,Scot Gov,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,General Register Scotland,Scot Gov,Non-Whitehall,No,2010,..,0,0,10,..,60,0,0,..,0,..,30,0,..,10,10,0,0,0,0,..,30,0,0,150,0,310
Scottish Government,GROS Census Field,Scot Gov,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Historic Scotland,Scot Gov,Non-Whitehall,No,2010,30,0,180,20,20,10,0,0,..,0,0,360,0,0,30,10,260,0,0,0,10,0,0,0,0,0,940
Scottish Government,HM Inspectorate of Education,Scot Gov,Non-Whitehall,No,2010,..,0,0,..,..,..,100,0,0,0,..,..,0,..,..,0,0,0,..,0,0,..,0,0,90,0,210
Scottish Government,Mental Health Tribunal Scotland,Scot Gov,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,National Records of Scotland,Scot Gov,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,National Archive for Scotland,Scot Gov,Non-Whitehall,No,2010,0,0,0,..,..,10,0,0,0,0,..,110,0,0,0,..,0,0,0,0,0,0,0,0,30,0,140
Scottish Government,Office for the Scottish Charity Regulator,Scot Gov,Non-Whitehall,No,2010,..,0,0,..,0,..,0,..,0,..,0,20,0,0,10,0,0,0,0,..,0,0,0,0,10,0,50
Scottish Government,Accountant in Bankruptcy,Scot Gov,Non-Whitehall,No,2010,0,0,0,..,0,0,0,0,0,0,..,30,0,..,..,0,0,0,0,0,0,0,0,0,110,0,150
Scottish Government,Registers of Scotland,Scot Gov,Non-Whitehall,No,2010,20,0,0,20,20,20,0,0,..,30,0,1080,0,10,10,10,30,10,0,0,0,0,0,0,0,0,1260
Scottish Government,Scottish Court Service,Scot Gov,Non-Whitehall,No,2010,..,0,0,10,40,30,0,0,0,0,0,1350,0,0,20,..,0,20,0,0,0,0,0,0,0,0,1470
Scottish Government,Scottish Fisheries Protection Agency,Scot Gov,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Scottish Government (excl agencies),Scot Gov,Non-Whitehall,No,2010,90,50,20,180,100,280,..,30,10,90,210,790,0,80,960,70,0,0,..,230,60,90,0,10,2140,0,5500
Scottish Government,Scottish Housing Regulator,Scot Gov,Non-Whitehall,No,2010,0,0,0,..,0,0,0,0,0,0,0,10,0,0,..,0,0,0,0,0,0,..,0,0,40,0,60
Scottish Government,Scottish Law Commission,Scot Gov,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Scottish Prison Service Headquarters,Scot Gov,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Scottish Public Pensions Agency,Scot Gov,Non-Whitehall,No,2010,0,0,0,10,..,10,0,0,0,0,0,150,0,0,..,..,0,0,0,0,0,0,0,0,60,0,240
Scottish Government,Social Work Inspection Agency,Scot Gov,Non-Whitehall,No,2010,0,0,0,..,0,0,0,0,0,0,0,10,0,0,..,0,0,0,0,0,0,..,0,0,30,0,40
Scottish Government,Student Awards Agency,Scot Gov,Non-Whitehall,No,2010,..,0,0,10,..,20,0,0,0,0,0,20,0,0,..,..,0,0,0,0,0,0,0,0,110,0,160
Scottish Government,Transport Scotland,Scot Gov,Non-Whitehall,No,2010,10,0,40,10,10,..,0,0,0,0,0,60,0,..,20,..,0,0,0,0,0,0,0,0,160,0,310
Scottish Government,Education Scotland,Scot Gov,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Welsh Assembly,ESTYN,Welsh Gov,Non-Whitehall,No,2010,..,0,0,..,..,..,50,0,0,0,0,..,0,0,0,0,30,0,0,0,0,0,0,0,0,0,100
Welsh Assembly,Welsh Government,Welsh Gov,Non-Whitehall,No,2010,230,20,40,540,220,130,0,40,250,90,30,1890,0,40,1350,80,190,180,0,40,50,70,0,..,410,0,5890
ONS total,All employees,Total employment,Total Employment ONS total,Total Employment ONS total,2010,3870,580,1920,11580,6180,7550,590,500,840,5900,1320,264360,240,460,18120,2110,5410,460,1000,5240,390,1350,8700,490,39000,103870,492020
Attorney General's departments,Attorney General's Office,AGO,Whitehall,Yes,2013,0,0,0,0,0,0,0,0,0,10,0,..,0,0,20,0,0,0,0,0,0,0,0,0,0,0,40
Attorney General's departments,Crown Prosecution Service,AGO,Non-Whitehall,No,2013,50,0,0,70,120,50,0,..,20,2930,0,3470,0,0,0,30,30,0,0,0,0,0,0,0,0,0,6770
Attorney General's departments,Crown Prosecution Service Inspectorate,AGO,Non-Whitehall,No,2013,0,0,0,0,..,0,0,0,0,20,0,..,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30
Attorney General's departments,National Fraud Authority [AGO],AGO,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
