"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","yvar"
"116","FCO",2010,"All grades","Female",4540,11930,0.380553227158424,"FCOAll grades",0.394366197183099,0.380553227158424
"117","FCO",2011,"SCS","Female",90,400,0.225,"FCOSCS",0.394366197183099,0.225
"118","FCO",2011,"All grades","Female",4360,11390,0.382791922739245,"FCOAll grades",0.394366197183099,0.382791922739245
"119","FCO",2012,"SCS","Female",110,500,0.22,"FCOSCS",0.394366197183099,0.22
"120","FCO",2012,"All grades","Female",4760,12070,0.394366197183099,"FCOAll grades",0.394366197183099,0.394366197183099
"121","HMRC",2008,"SCS","Female",110,420,0.261904761904762,"HMRCSCS",0.58001521683997,0.261904761904762
"122","HMRC",2008,"All grades","Female",54740,95370,0.57397504456328,"HMRCAll grades",0.58001521683997,0.57397504456328
"123","HMRC",2009,"SCS","Female",140,480,0.291666666666667,"HMRCSCS",0.58001521683997,0.291666666666667
"124","HMRC",2009,"All grades","Female",53180,93110,0.57115240038664,"HMRCAll grades",0.58001521683997,0.57115240038664
"125","HMRC",2010,"SCS","Female",130,420,0.30952380952381,"HMRCSCS",0.58001521683997,0.30952380952381
"126","HMRC",2010,"All grades","Female",49810,87350,0.570234688036634,"HMRCAll grades",0.58001521683997,0.570234688036634
"127","HMRC",2011,"SCS","Female",120,390,0.307692307692308,"HMRCSCS",0.58001521683997,0.307692307692308
"128","HMRC",2011,"All grades","Female",45700,78580,0.581572919317893,"HMRCAll grades",0.58001521683997,0.581572919317893
"129","HMRC",2012,"SCS","Female",140,390,0.358974358974359,"HMRCSCS",0.58001521683997,0.358974358974359
"130","HMRC",2012,"All grades","Female",45740,78860,0.58001521683997,"HMRCAll grades",0.58001521683997,0.58001521683997
"131","HMT",2008,"SCS","Female",70,210,0.333333333333333,"HMTSCS",0.527724665391969,0.333333333333333
"132","HMT",2008,"All grades","Female",2930,5890,0.497453310696095,"HMTAll grades",0.527724665391969,0.497453310696095
"133","HMT",2009,"SCS","Female",60,200,0.3,"HMTSCS",0.527724665391969,0.3
"134","HMT",2009,"All grades","Female",3270,6780,0.482300884955752,"HMTAll grades",0.527724665391969,0.482300884955752
"135","HMT",2010,"SCS","Female",80,270,0.296296296296296,"HMTSCS",0.527724665391969,0.296296296296296
"136","HMT",2010,"All grades","Female",3240,6300,0.514285714285714,"HMTAll grades",0.527724665391969,0.514285714285714
"137","HMT",2011,"SCS","Female",60,190,0.315789473684211,"HMTSCS",0.527724665391969,0.315789473684211
"138","HMT",2011,"All grades","Female",3010,5720,0.526223776223776,"HMTAll grades",0.527724665391969,0.526223776223776
"139","HMT",2012,"SCS","Female",70,190,0.368421052631579,"HMTSCS",0.527724665391969,0.368421052631579
"140","HMT",2012,"All grades","Female",2760,5230,0.527724665391969,"HMTAll grades",0.527724665391969,0.527724665391969
"141","HO",2008,"SCS","Female",70,220,0.318181818181818,"HOSCS",0.522960151802657,0.318181818181818
"142","HO",2008,"All grades","Female",15340,26910,0.570048309178744,"HOAll grades",0.522960151802657,0.570048309178744
"143","HO",2009,"SCS","Female",80,240,0.333333333333333,"HOSCS",0.522960151802657,0.333333333333333
"144","HO",2009,"All grades","Female",14780,26240,0.563262195121951,"HOAll grades",0.522960151802657,0.563262195121951
"145","HO",2010,"SCS","Female",90,270,0.333333333333333,"HOSCS",0.522960151802657,0.333333333333333
"146","HO",2010,"All grades","Female",15240,27030,0.563817980022198,"HOAll grades",0.522960151802657,0.563817980022198
"147","HO",2011,"SCS","Female",70,220,0.318181818181818,"HOSCS",0.522960151802657,0.318181818181818
"148","HO",2011,"All grades","Female",15700,29650,0.529510961214165,"HOAll grades",0.522960151802657,0.529510961214165
"149","HO",2012,"SCS","Female",80,210,0.380952380952381,"HOSCS",0.522960151802657,0.380952380952381
"150","HO",2012,"All grades","Female",13780,26350,0.522960151802657,"HOAll grades",0.522960151802657,0.522960151802657
"151","MOD",2008,"SCS","Female",40,330,0.121212121212121,"MODSCS",0.344564526382708,0.121212121212121
"152","MOD",2008,"All grades","Female",28430,81950,0.346918852959121,"MODAll grades",0.344564526382708,0.346918852959121
"153","MOD",2009,"SCS","Female",50,330,0.151515151515152,"MODSCS",0.344564526382708,0.151515151515152
"154","MOD",2009,"All grades","Female",27580,77830,0.354362071180779,"MODAll grades",0.344564526382708,0.354362071180779
"155","MOD",2010,"SCS","Female",60,340,0.176470588235294,"MODSCS",0.344564526382708,0.176470588235294
"156","MOD",2010,"All grades","Female",27630,77650,0.355827430779137,"MODAll grades",0.344564526382708,0.355827430779137
"157","MOD",2011,"SCS","Female",50,330,0.151515151515152,"MODSCS",0.344564526382708,0.151515151515152
"158","MOD",2011,"All grades","Female",25950,73730,0.351959853519599,"MODAll grades",0.344564526382708,0.351959853519599
"159","MOD",2012,"SCS","Female",50,280,0.178571428571429,"MODSCS",0.344564526382708,0.178571428571429
"160","MOD",2012,"All grades","Female",21680,62920,0.344564526382708,"MODAll grades",0.344564526382708,0.344564526382708
"161","MOJ",2008,"SCS","Female",120,310,0.387096774193548,"MOJSCS",0.472651356993737,0.387096774193548
"162","MOJ",2008,"All grades","Female",42990,88570,0.4853787964322,"MOJAll grades",0.472651356993737,0.4853787964322
"163","MOJ",2009,"SCS","Female",110,300,0.366666666666667,"MOJSCS",0.472651356993737,0.366666666666667
"164","MOJ",2009,"All grades","Female",43210,89040,0.485287511230907,"MOJAll grades",0.472651356993737,0.485287511230907
"165","MOJ",2010,"SCS","Female",110,300,0.366666666666667,"MOJSCS",0.472651356993737,0.366666666666667
