"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"291","HO",2010,"All grades","Male",1610,3280,0.490853658536585,"HOAll grades",0.442790697674419,0,FALSE,0.490853658536585
"294","HO",2011,"SCS","Male",90,130,0.692307692307692,"HOSCS",0.442790697674419,0,FALSE,0.692307692307692
"295","HO",2011,"All grades","Male",1440,2900,0.496551724137931,"HOAll grades",0.442790697674419,0,FALSE,0.496551724137931
"297","HO",2012,"SCS","Male",100,150,0.666666666666667,"HOSCS",0.442790697674419,0,FALSE,0.666666666666667
"300","HO",2012,"All grades","Male",5990,10750,0.557209302325581,"HOAll grades",0.442790697674419,0,FALSE,0.557209302325581
"301","MoD",2008,"SCS","Male",250,290,0.862068965517241,"MoDSCS",0.368115399025852,0,FALSE,0.862068965517241
"303","MoD",2008,"All grades","Male",42960,69000,0.622608695652174,"MoDAll grades",0.368115399025852,0,FALSE,0.622608695652174
"305","MoD",2009,"SCS","Male",250,300,0.833333333333333,"MoDSCS",0.368115399025852,0,FALSE,0.833333333333333
"308","MoD",2009,"All grades","Male",40550,65660,0.617575388364301,"MoDAll grades",0.368115399025852,0,FALSE,0.617575388364301
"309","MoD",2010,"SCS","Male",240,300,0.8,"MoDSCS",0.368115399025852,0,FALSE,0.8
"311","MoD",2010,"All grades","Male",40250,65350,0.615914307574598,"MoDAll grades",0.368115399025852,0,FALSE,0.615914307574598
"314","MoD",2011,"SCS","Male",230,280,0.821428571428571,"MoDSCS",0.368115399025852,0,FALSE,0.821428571428571
"315","MoD",2011,"All grades","Male",38300,61750,0.620242914979757,"MoDAll grades",0.368115399025852,0,FALSE,0.620242914979757
"317","MoD",2012,"SCS","Male",190,240,0.791666666666667,"MoDSCS",0.368115399025852,0,FALSE,0.791666666666667
"320","MoD",2012,"All grades","Male",33730,53380,0.631884600974148,"MoDAll grades",0.368115399025852,0,FALSE,0.631884600974148
"321","MoJ",2008,"SCS","Male",80,150,0.533333333333333,"MoJSCS",0.571764705882353,0,FALSE,0.533333333333333
"323","MoJ",2008,"All grades","Male",1680,3800,0.442105263157895,"MoJAll grades",0.571764705882353,0,FALSE,0.442105263157895
"325","MoJ",2009,"SCS","Male",60,120,0.5,"MoJSCS",0.571764705882353,0,FALSE,0.5
"328","MoJ",2009,"All grades","Male",1310,3020,0.433774834437086,"MoJAll grades",0.571764705882353,0,FALSE,0.433774834437086
"329","MoJ",2010,"SCS","Male",70,140,0.5,"MoJSCS",0.571764705882353,0,FALSE,0.5
"331","MoJ",2010,"All grades","Male",1360,3220,0.422360248447205,"MoJAll grades",0.571764705882353,0,FALSE,0.422360248447205
"334","MoJ",2011,"SCS","Male",70,130,0.538461538461538,"MoJSCS",0.571764705882353,0,FALSE,0.538461538461538
