"","Civil.Service.grad","gradeval","Group","Whitehall","Gender","Date","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","totalgroup","yvar"
"76","G6/G7",4,"DCLG","WH","Male",2013,290,1730,0.167630057803468,"DCLGMale",0.317919075144509,1.27167630057803,0.636994219653179,0.636994219653179,FALSE,0.167630057803468
"77","G6/G7",4,"BIS","WH","Male",2013,560,3140,0.178343949044586,"BISMale",0.334394904458599,1.33757961783439,0.636942675159236,0.636942675159236,FALSE,0.178343949044586
"78","G6/G7",4,"DCMS","WH","Female",2013,-70,390,-0.179487179487179,"DCMSFemale",0.358974358974359,1.43589743589744,0.666666666666667,0.666666666666667,FALSE,-0.179487179487179
"79","G6/G7",4,"CO","WH","Female",2013,-290,1840,-0.157608695652174,"COFemale",0.347826086956522,1.39130434782609,0.647826086956522,0.647826086956522,FALSE,-0.157608695652174
"80","G6/G7",4,"FCO","WH","Male",2013,750,4840,0.15495867768595,"FCOMale",0.241735537190083,0.966942148760331,0.574793388429752,0.574793388429752,FALSE,0.15495867768595
"81","G6/G7",4,"DfID","WH","Male",2013,480,1810,0.265193370165746,"DfIDMale",0.530386740331492,2.12154696132597,0.681767955801105,0.681767955801105,FALSE,0.265193370165746
"82","G6/G7",4,"DCMS","WH","Male",2013,70,390,0.179487179487179,"DCMSMale",0.358974358974359,1.43589743589744,0.666666666666667,0.666666666666667,FALSE,0.179487179487179
"83","G6/G7",4,"HMRC","WH","Female",2013,-1620,76700,-0.0211212516297262,"HMRCFemale",0.0558018252933507,0.223207301173403,0.355645371577575,0.355645371577575,FALSE,-0.0211212516297262
"84","G6/G7",4,"DfT","WH","Female",2013,-200,1760,-0.113636363636364,"DfTFemale",0.340909090909091,1.36363636363636,0.644318181818182,0.644318181818182,FALSE,-0.113636363636364
"85","G6/G7",4,"DfE","WH","Female",2013,-1050,6530,-0.160796324655436,"DfEFemale",0.298621745788668,1.19448698315467,0.618376722817764,0.618376722817764,FALSE,-0.160796324655436
"86","G6/G7",4,"DWP","WH","Female",2013,-1240,108280,-0.0114517916512745,"DWPFemale",0.0262282970077577,0.104913188031031,0.340265977096417,0.340265977096417,FALSE,-0.0114517916512745
"87","G6/G7",4,"DECC","WH","Female",2013,-260,1460,-0.178082191780822,"DECCFemale",0.417808219178082,1.67123287671233,0.676712328767123,0.676712328767123,FALSE,-0.178082191780822
"88","G6/G7",4,"HMRC","WH","Male",2013,2660,76700,0.0346805736636245,"HMRCMale",0.0558018252933507,0.223207301173403,0.355645371577575,0.355645371577575,FALSE,0.0346805736636245
"89","G6/G7",4,"DfT","WH","Male",2013,400,1760,0.227272727272727,"DfTMale",0.340909090909091,1.36363636363636,0.644318181818182,0.644318181818182,FALSE,0.227272727272727
"90","G6/G7",4,"DfE","WH","Male",2013,900,6530,0.137825421133231,"DfEMale",0.298621745788668,1.19448698315467,0.618376722817764,0.618376722817764,FALSE,0.137825421133231
"91","G6/G7",4,"DWP","WH","Male",2013,1600,108280,0.0147765053564832,"DWPMale",0.0262282970077577,0.104913188031031,0.340265977096417,0.340265977096417,FALSE,0.0147765053564832
"92","G6/G7",4,"DECC","WH","Male",2013,350,1460,0.23972602739726,"DECCMale",0.417808219178082,1.67123287671233,0.676712328767123,0.676712328767123,FALSE,0.23972602739726
"93","G6/G7",4,"HMT","WH","Female",2013,-160,1240,-0.129032258064516,"HMTFemale",0.330645161290323,1.32258064516129,0.656451612903226,0.656451612903226,FALSE,-0.129032258064516
"94","G6/G7",4,"FCO","WH","Female",2013,-420,4840,-0.0867768595041322,"FCOFemale",0.241735537190083,0.966942148760331,0.574793388429752,0.574793388429752,FALSE,-0.0867768595041322
"95","G6/G7",4,"DfID","WH","Female",2013,-480,1810,-0.265193370165746,"DfIDFemale",0.530386740331492,2.12154696132597,0.681767955801105,0.681767955801105,FALSE,-0.265193370165746
"96","G6/G7",4,"Defra","WH","Female",2013,-210,2180,-0.0963302752293578,"DefraFemale",0.238532110091743,0.954128440366973,0.579816513761468,0.579816513761468,FALSE,-0.0963302752293578
"97","G6/G7",4,"DH","WH","Female",2013,-420,2280,-0.184210526315789,"DHFemale",0.346491228070175,1.3859649122807,0.654385964912281,0.654385964912281,FALSE,-0.184210526315789
"98","G6/G7",4,"HMT","WH","Male",2013,250,1240,0.201612903225806,"HMTMale",0.330645161290323,1.32258064516129,0.656451612903226,0.656451612903226,FALSE,0.201612903225806
"99","G6/G7",4,"Defra","WH","Male",2013,310,2180,0.142201834862385,"DefraMale",0.238532110091743,0.954128440366973,0.579816513761468,0.579816513761468,FALSE,0.142201834862385
"100","G6/G7",4,"DH","WH","Male",2013,370,2280,0.162280701754386,"DHMale",0.346491228070175,1.3859649122807,0.654385964912281,0.654385964912281,FALSE,0.162280701754386
"101","G6/G7",4,"MoJ","WH","Female",2013,-370,4490,-0.0824053452115813,"MoJFemale",0.175946547884187,0.703786191536748,0.517149220489978,0.517149220489978,FALSE,-0.0824053452115813
"102","G6/G7",4,"HO","WH","Female",2013,-800,26450,-0.0302457466918715,"HOFemale",0.067296786389414,0.269187145557656,0.4165595463138,0.4165595463138,FALSE,-0.0302457466918715
"103","G6/G7",4,"MoJ","WH","Male",2013,420,4490,0.0935412026726058,"MoJMale",0.175946547884187,0.703786191536748,0.517149220489978,0.517149220489978,FALSE,0.0935412026726058
"104","G6/G7",4,"HO","WH","Male",2013,980,26450,0.0370510396975425,"HOMale",0.067296786389414,0.269187145557656,0.4165595463138,0.4165595463138,FALSE,0.0370510396975425
"105","G6/G7",4,"Whitehall","Total","Female",2013,-14590,448830,-0.0325067397455607,"Whole Civil ServiceFemale",0.078047367600205,0.31218947040082,0.388400953590446,0.388400953590446,TRUE,-0.0325067397455607
"106","G6/G7",4,"MoD","WH","Female",2013,-940,58440,-0.0160848733744011,"MoDFemale",0.0658795345653662,0.263518138261465,0.393463381245722,0.393463381245722,FALSE,-0.0160848733744011
"107","G6/G7",4,"Whitehall","Total","Male",2013,20440,448830,0.0455406278546443,"Whole Civil ServiceMale",0.078047367600205,0.31218947040082,0.388400953590446,0.388400953590446,TRUE,0.0455406278546443
"108","G6/G7",4,"MoD","WH","Male",2013,2910,58440,0.0497946611909651,"MoDMale",0.0658795345653662,0.263518138261465,0.393463381245722,0.393463381245722,FALSE,0.0497946611909651
"109","SCS",5,"CO","WH","Male",2013,110,1840,0.0597826086956522,"COMale",0.0978260869565217,0.489130434782609,0.647826086956522,0.647826086956522,FALSE,0.0597826086956522
"110","SCS",5,"DH","WH","Male",2013,130,2280,0.0570175438596491,"DHMale",0.0921052631578947,0.460526315789474,0.654385964912281,0.654385964912281,FALSE,0.0570175438596491
"111","SCS",5,"DCMS","WH","Male",2013,20,390,0.0512820512820513,"DCMSMale",0.102564102564103,0.512820512820513,0.666666666666667,0.666666666666667,FALSE,0.0512820512820513
"112","SCS",5,"DWP","WH","Female",2013,-100,108280,-0.0009235315847802,"DWPFemale",0.00249353527890654,0.0124676763945327,0.340265977096417,0.340265977096417,FALSE,-0.0009235315847802
"113","SCS",5,"DCLG","WH","Female",2013,-40,1730,-0.023121387283237,"DCLGFemale",0.0520231213872832,0.260115606936416,0.636994219653179,0.636994219653179,FALSE,-0.023121387283237
"114","SCS",5,"BIS","WH","Female",2013,-90,3140,-0.0286624203821656,"BISFemale",0.0700636942675159,0.35031847133758,0.636942675159236,0.636942675159236,FALSE,-0.0286624203821656
"115","SCS",5,"DECC","WH","Female",2013,-30,1460,-0.0205479452054795,"DECCFemale",0.0684931506849315,0.342465753424658,0.676712328767123,0.676712328767123,FALSE,-0.0205479452054795
"116","SCS",5,"DWP","WH","Male",2013,170,108280,0.00157000369412634,"DWPMale",0.00249353527890654,0.0124676763945327,0.340265977096417,0.340265977096417,FALSE,0.00157000369412634
"117","SCS",5,"DECC","WH","Male",2013,70,1460,0.0479452054794521,"DECCMale",0.0684931506849315,0.342465753424658,0.676712328767123,0.676712328767123,FALSE,0.0479452054794521
"118","SCS",5,"DCLG","WH","Male",2013,50,1730,0.0289017341040462,"DCLGMale",0.0520231213872832,0.260115606936416,0.636994219653179,0.636994219653179,FALSE,0.0289017341040462
"119","SCS",5,"BIS","WH","Male",2013,130,3140,0.0414012738853503,"BISMale",0.0700636942675159,0.35031847133758,0.636942675159236,0.636942675159236,FALSE,0.0414012738853503
"120","SCS",5,"Defra","WH","Female",2013,-40,2180,-0.018348623853211,"DefraFemale",0.0458715596330275,0.229357798165138,0.579816513761468,0.579816513761468,FALSE,-0.018348623853211
"121","SCS",5,"DCMS","WH","Female",2013,-20,390,-0.0512820512820513,"DCMSFemale",0.102564102564103,0.512820512820513,0.666666666666667,0.666666666666667,FALSE,-0.0512820512820513
"122","SCS",5,"CO","WH","Female",2013,-70,1840,-0.0380434782608696,"COFemale",0.0978260869565217,0.489130434782609,0.647826086956522,0.647826086956522,FALSE,-0.0380434782608696
"123","SCS",5,"DH","WH","Female",2013,-80,2280,-0.0350877192982456,"DHFemale",0.0921052631578947,0.460526315789474,0.654385964912281,0.654385964912281,FALSE,-0.0350877192982456
"124","SCS",5,"MoD","WH","Male",2013,200,58440,0.00342231348391513,"MoDMale",0.00444900752908966,0.0222450376454483,0.393463381245722,0.393463381245722,FALSE,0.00342231348391513
"125","SCS",5,"HMT","WH","Male",2013,70,1240,0.0564516129032258,"HMTMale",0.0967741935483871,0.483870967741935,0.656451612903226,0.656451612903226,FALSE,0.0564516129032258
"126","SCS",5,"FCO","WH","Male",2013,310,4840,0.0640495867768595,"FCOMale",0.0847107438016529,0.423553719008264,0.574793388429752,0.574793388429752,FALSE,0.0640495867768595
"127","SCS",5,"DfID","WH","Male",2013,50,1810,0.0276243093922652,"DfIDMale",0.0441988950276243,0.220994475138122,0.681767955801105,0.681767955801105,FALSE,0.0276243093922652
"128","SCS",5,"Defra","WH","Male",2013,60,2180,0.0275229357798165,"DefraMale",0.0458715596330275,0.229357798165138,0.579816513761468,0.579816513761468,FALSE,0.0275229357798165
"129","SCS",5,"MoJ","WH","Female",2013,-50,4490,-0.0111358574610245,"MoJFemale",0.0267260579064588,0.133630289532294,0.517149220489978,0.517149220489978,FALSE,-0.0111358574610245
